,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
728,18148,03,06,18,19,21,31,01
729,18147,03,15,17,23,27,30,11
730,18146,02,10,11,17,18,29,16
731,18145,03,09,13,22,23,25,06
732,18144,08,13,17,18,20,27,13
733,18143,04,06,15,28,32,33,14
734,18142,05,08,10,11,27,28,11
735,18141,11,14,16,18,24,33,04
736,18140,01,15,20,22,25,28,14
737,18139,11,18,20,23,31,32,15
738,18138,01,10,25,27,30,32,09
739,18137,03,05,11,15,20,23,09
740,18136,10,12,15,25,26,27,14
741,18135,01,03,06,10,11,29,16
742,18134,03,16,18,31,32,33,12
743,18133,02,04,11,12,18,32,13
744,18132,01,02,09,10,15,22,06
745,18131,21,22,24,31,32,33,01
746,18130,05,12,17,18,24,28,12
747,18129,02,04,06,16,18,19,16
748,18128,06,07,08,19,22,23,02
749,18127,02,05,06,07,11,15,12
750,18126,01,06,08,09,14,22,05
751,18125,03,10,11,14,15,32,02
752,18124,09,13,14,19,22,25,02
753,18123,13,21,24,27,31,32,01
754,18122,05,07,20,22,30,32,10
755,18121,06,08,14,19,23,25,11
756,18120,03,04,18,26,27,33,01
757,18119,03,13,14,16,25,27,12
758,18118,08,12,21,22,27,31,09
759,18117,08,11,15,17,23,25,05
760,18116,05,14,17,22,23,28,15
761,18115,01,13,19,24,26,29,11
762,18114,01,07,15,16,20,27,14
763,18113,01,06,09,16,25,26,09
764,18112,05,08,18,25,26,31,04
765,18111,01,07,14,24,25,28,08
766,18110,11,13,16,21,22,23,02
767,18109,10,11,18,23,31,33,15
768,18108,05,13,18,21,26,30,02
769,18107,01,02,05,12,20,22,01
770,18106,04,18,19,24,25,26,10
771,18105,04,05,13,18,19,25,01
772,18104,02,03,06,19,25,29,01
773,18103,02,09,15,22,23,24,16
774,18102,02,06,11,19,21,28,05
775,18101,01,03,14,26,29,33,09
776,18100,02,11,14,15,29,33,02
777,18099,03,07,08,14,25,32,06
778,18098,06,10,11,20,29,32,13
779,18097,01,02,17,20,25,28,13
780,18096,01,05,09,20,28,32,12
781,18095,10,11,12,21,26,33,09
782,18094,04,07,16,20,24,30,05
783,18093,04,18,20,21,29,33,07
784,18092,06,10,16,19,24,33,16
785,18091,06,11,13,17,25,32,07
786,18090,01,02,04,10,14,23,07
787,18089,06,09,12,14,18,27,14
788,18088,03,05,12,29,30,32,14
789,18087,01,05,10,16,18,31,03
790,18086,02,07,17,21,23,26,16
791,18085,04,10,25,26,30,33,06
792,18084,05,06,08,12,22,24,03
793,18083,04,09,18,21,32,33,03
794,18082,06,12,14,20,22,24,09
795,18081,01,02,12,16,20,26,03
796,18080,04,07,13,20,29,33,03
797,18079,14,15,17,22,24,29,13
798,18078,03,10,14,17,18,30,12
799,18077,02,05,09,15,20,24,10
800,18076,03,07,08,15,29,30,13
801,18075,07,09,12,13,22,24,11
802,18074,09,11,14,20,27,30,09
803,18073,02,09,14,15,16,23,10
804,18072,11,16,19,22,25,30,08
805,18071,02,05,06,13,16,19,03
806,18070,04,09,15,16,19,27,10
807,18069,06,13,17,19,23,31,12
808,18068,08,10,17,20,27,30,01
809,18067,01,04,09,12,15,18,05
810,18066,09,16,17,19,22,26,10
811,18065,01,04,06,14,28,33,01
812,18064,02,05,10,11,17,21,05
813,18063,05,06,10,16,20,25,12
814,18062,02,18,19,24,25,33,11
815,18061,09,10,11,12,18,23,07
816,18060,04,08,13,25,30,31,10
817,18059,04,06,08,13,22,32,11
818,18058,07,12,13,16,26,31,07
819,18057,05,15,17,19,20,30,13
820,18056,01,03,06,20,21,26,01
821,18055,07,09,10,12,22,26,07
822,18054,04,06,18,22,25,33,16
823,18053,01,04,10,11,14,27,06
824,18052,03,05,06,09,15,32,14
825,18051,05,07,20,23,27,31,04
826,18050,01,02,04,10,18,19,07
827,18049,01,03,04,11,19,23,02
828,18048,01,12,20,25,30,31,02
829,18047,06,07,12,16,22,25,07
830,18046,10,13,14,18,20,31,03
831,18045,03,04,06,25,26,30,01
832,18044,05,09,12,17,27,30,06
833,18043,01,04,06,08,21,24,07
834,18042,06,10,21,28,29,31,12
835,18041,07,08,20,23,24,32,13
836,18040,01,03,08,13,18,23,16
837,18039,08,12,18,19,23,32,03
838,18038,15,23,24,25,28,29,09
839,18037,01,06,07,08,27,30,10
840,18036,08,17,24,26,28,33,04
841,18035,07,10,11,17,23,28,15
842,18034,01,05,11,22,23,26,15
843,18033,04,19,20,22,28,33,06
844,18032,21,22,23,24,25,32,06
845,18031,02,16,18,19,27,30,14
846,18030,13,14,20,21,25,33,07
847,18029,01,02,09,14,22,25,05
848,18028,03,08,11,14,18,23,16
849,18027,02,07,09,14,18,28,05
850,18026,04,07,12,14,26,32,04
851,18025,04,13,16,19,21,25,14
852,18024,11,19,22,26,31,32,02
853,18023,12,15,16,21,26,29,16
854,18022,07,14,19,21,22,23,03
855,18021,03,04,06,11,23,28,14
856,18020,06,09,10,14,28,30,05
857,18019,03,11,12,16,21,23,09
858,18018,02,12,13,18,25,27,07
859,18017,03,06,11,26,30,32,12
860,18016,01,11,12,18,25,27,16
861,18015,11,15,20,21,26,33,15
862,18014,09,12,20,24,28,31,07
863,18013,06,08,13,15,22,33,06
864,18012,11,12,13,19,26,28,12
865,18011,03,10,21,23,27,33,11
866,18010,01,08,17,20,21,22,03
867,18009,05,10,17,23,26,32,07
868,18008,05,09,10,12,17,19,13
869,18007,13,14,20,25,27,31,12
870,18006,02,07,08,09,17,29,11
871,18005,02,20,21,28,31,33,06
872,18004,14,18,19,26,30,31,11
873,18003,01,14,16,17,20,31,04
874,18002,07,18,24,29,31,33,16
875,18001,01,08,11,26,28,31,04
876,17154,05,09,13,15,18,26,05
877,17153,07,11,12,13,18,19,16
878,17152,06,10,23,25,26,29,05
879,17151,02,05,07,09,11,27,16
880,17150,06,14,19,20,21,23,08
881,17149,05,08,15,20,27,30,13
882,17148,04,07,11,14,29,32,12
883,17147,03,07,20,21,25,31,14
884,17146,01,19,25,26,27,33,10
885,17145,02,06,12,17,25,28,12
886,17144,03,14,16,20,31,32,09
887,17143,04,06,09,14,20,29,14
888,17142,08,13,14,18,23,33,06
889,17141,01,06,07,11,13,15,05
890,17140,21,22,25,28,29,30,08
891,17139,02,14,20,24,28,32,16
892,17138,01,17,24,28,32,33,02
893,17137,05,10,20,23,26,31,03
894,17136,03,07,10,18,21,24,12
895,17135,01,06,07,14,18,26,16
896,17134,04,05,11,14,28,32,04
897,17133,06,15,17,18,23,30,11
898,17132,02,03,05,09,13,28,11
899,17131,01,07,10,11,26,27,11
900,17130,05,13,14,23,25,31,02
901,17129,05,06,09,14,21,33,02
902,17128,02,06,13,22,29,31,08
903,17127,14,15,21,24,27,32,12
904,17126,01,16,17,21,27,30,16
905,17125,01,14,23,25,29,30,03
906,17124,02,06,11,26,28,29,03
907,17123,04,05,06,11,21,31,10
908,17122,11,20,21,22,24,27,15
909,17121,11,18,19,22,24,32,07
910,17120,08,10,15,19,23,28,16
911,17119,09,16,21,25,26,31,14
912,17118,08,09,15,22,30,33,16
913,17117,01,02,08,11,14,21,09
914,17116,02,14,20,22,30,32,02
915,17115,04,10,11,25,30,31,01
916,17114,06,12,13,15,18,26,13
917,17113,04,06,16,27,29,33,05
918,17112,03,10,14,16,22,23,11
919,17111,05,10,17,19,29,32,12
920,17110,01,03,12,15,19,23,14
921,17109,08,14,16,18,21,23,16
922,17108,07,12,14,15,17,20,01
923,17107,08,09,15,17,30,32,06
924,17106,12,15,20,25,27,31,02
925,17105,03,06,07,12,25,26,07
926,17104,01,14,15,20,23,30,14
927,17103,01,21,23,25,31,33,01
928,17102,04,08,10,14,18,20,11
929,17101,01,04,11,28,31,32,16
930,17100,04,07,08,18,23,24,02
931,17099,02,05,06,16,28,29,04
932,17098,04,19,22,27,30,33,01
933,17097,05,10,18,19,30,31,03
934,17096,02,06,11,12,19,29,06
935,17095,09,10,12,19,22,29,16
936,17094,08,11,13,19,28,31,06
937,17093,07,08,09,15,22,27,12
938,17092,10,18,19,29,32,33,09
939,17091,05,07,10,23,28,29,03
940,17090,01,07,10,16,22,33,09
941,17089,11,12,13,16,23,25,12
942,17088,07,09,18,22,23,29,06
943,17087,03,06,13,14,19,28,06
944,17086,03,05,06,13,20,22,07
945,17085,01,05,06,16,25,30,09
946,17084,01,05,11,20,22,24,02
947,17083,03,08,14,20,24,26,12
948,17082,14,18,21,25,28,29,10
949,17081,03,05,14,25,26,30,05
950,17080,01,12,16,20,22,24,08
951,17079,03,07,14,23,25,27,08
952,17078,05,07,18,19,22,24,16
953,17077,01,02,04,15,17,22,14
954,17076,01,04,08,09,14,15,13
955,17075,01,03,06,19,21,29,07
956,17074,02,06,16,23,30,31,02
957,17073,03,06,16,23,26,30,14
958,17072,06,11,14,23,26,30,02
959,17071,02,03,06,14,31,32,03
960,17070,01,06,14,22,25,26,12
961,17069,02,11,12,23,29,31,05
962,17068,02,06,10,22,30,31,15
963,17067,01,03,04,10,18,29,04
964,17066,01,04,06,17,19,26,03
965,17065,02,05,08,10,12,21,07
966,17064,02,10,16,22,24,28,15
967,17063,12,16,20,22,25,31,04
968,17062,01,07,22,24,26,31,10
969,17061,06,07,12,20,26,27,11
970,17060,05,10,13,24,26,31,04
971,17059,04,08,09,15,19,25,09
972,17058,01,09,13,22,28,32,11
973,17057,18,20,22,23,30,31,16
974,17056,13,14,18,19,21,28,06
975,17055,07,12,13,20,24,31,05
976,17054,02,03,09,23,28,33,08
977,17053,04,09,11,15,29,31,06
978,17052,07,08,18,24,29,31,07
979,17051,02,05,09,15,24,25,11
980,17050,10,12,20,24,27,29,07
981,17049,01,08,14,15,20,29,10
982,17048,05,08,09,14,15,19,07
983,17047,02,05,08,10,32,33,02
984,17046,04,13,14,23,26,32,10
985,17045,05,07,16,20,21,25,05
986,17044,08,16,19,21,31,32,06
987,17043,08,13,16,23,27,31,08
988,17042,01,02,04,07,10,23,04
989,17041,04,10,13,15,22,27,04
990,17040,15,19,23,28,29,33,04
991,17039,02,04,12,14,17,24,15
992,17038,01,04,08,13,24,27,05
993,17037,11,15,20,22,25,30,05
994,17036,01,02,05,10,24,27,15
995,17035,01,06,14,24,28,32,12
996,17034,04,07,08,19,32,33,13
997,17033,05,07,15,20,23,30,15
998,17032,05,08,15,24,27,31,11
999,17031,06,10,16,26,27,29,03
1000,17030,01,07,09,20,23,30,02
1001,17029,02,15,21,23,25,30,10
1002,17028,07,08,12,13,22,30,09
1003,17027,02,04,11,14,27,30,05
1004,17026,03,10,12,19,27,30,08
1005,17025,02,15,16,17,22,32,07
1006,17024,09,21,25,26,29,31,13
1007,17023,01,03,04,11,18,22,14
1008,17022,02,06,15,16,18,32,15
1009,17021,02,05,10,22,32,33,09
1010,17020,04,08,10,12,31,33,10
1011,17019,04,06,08,12,23,25,08
1012,17018,01,02,03,17,25,31,09
1013,17017,03,07,08,10,22,23,12
1014,17016,05,08,16,22,27,29,02
1015,17015,01,08,09,14,17,32,01
1016,17014,06,08,18,20,23,31,13
1017,17013,08,11,28,29,31,33,06
1018,17012,10,11,14,15,16,24,07
1019,17011,10,11,12,23,26,29,16
1020,17010,05,08,19,25,28,30,07
1021,17009,02,06,08,09,15,29,14
1022,17008,07,13,15,27,28,29,13
1023,17007,02,04,05,24,26,33,15
1024,17006,02,04,08,26,29,33,08
1025,17005,06,11,12,22,23,30,05
1026,17004,05,13,17,26,27,30,07
1027,17003,01,04,08,15,27,32,16
1028,17002,15,19,23,24,25,32,03
1029,17001,09,11,14,20,25,26,15
1030,16153,07,09,16,24,25,29,06
1031,16152,02,08,09,16,20,22,07
1032,16151,06,11,16,20,22,33,07
1033,16150,02,04,05,09,13,21,05
1034,16149,03,20,23,26,32,33,07
1035,16148,01,02,11,20,26,30,14
1036,16147,04,14,18,28,31,32,12
1037,16146,03,07,15,16,17,23,10
1038,16145,01,03,07,12,19,20,06
1039,16144,04,10,12,27,32,33,05
1040,16143,06,09,23,24,25,33,13
1041,16142,01,10,17,21,23,30,12
1042,16141,04,13,15,17,21,24,15
1043,16140,01,02,05,17,26,32,10
1044,16139,01,06,19,26,28,30,03
1045,16138,07,16,20,24,25,30,07
1046,16137,01,06,09,10,15,32,14
1047,16136,02,07,10,20,27,29,03
1048,16135,02,08,10,18,20,33,12
1049,16134,11,12,13,14,18,33,13
1050,16133,15,16,21,22,27,33,15
1051,16132,05,08,13,19,27,28,07
1052,16131,04,10,18,19,25,27,02
1053,16130,03,17,21,23,27,28,01
1054,16129,05,06,08,21,31,33,14
1055,16128,04,09,11,17,26,27,13
1056,16127,07,12,17,26,29,31,16
1057,16126,02,06,12,17,18,19,10
1058,16125,01,06,08,20,27,30,03
1059,16124,09,15,21,24,27,32,10
1060,16123,07,09,12,14,20,27,16
1061,16122,15,22,23,24,28,29,08
1062,16121,02,03,10,23,25,28,09
1063,16120,02,05,06,21,25,28,09
1064,16119,09,19,21,30,31,32,04
1065,16118,09,14,22,23,31,33,14
1066,16117,03,10,14,17,28,33,02
1067,16116,07,18,20,23,27,31,13
1068,16115,06,08,20,22,26,27,09
1069,16114,05,16,20,22,27,29,09
1070,16113,01,11,16,17,20,26,14
1071,16112,06,12,14,15,18,25,12
1072,16111,02,04,07,14,15,32,04
1073,16110,05,07,28,31,32,33,08
1074,16109,09,11,15,16,27,33,05
1075,16108,02,03,07,08,19,26,16
1076,16107,06,11,18,26,27,32,01
1077,16106,04,05,13,22,25,30,04
1078,16105,08,10,19,27,28,31,16
1079,16104,05,09,11,18,30,31,04
1080,16103,01,05,13,19,24,27,11
1081,16102,05,08,10,14,17,30,13
1082,16101,01,03,19,24,32,33,01
1083,16100,03,10,22,23,27,29,04
1084,16099,01,11,21,23,27,33,06
1085,16098,02,08,25,29,31,32,06
1086,16097,06,13,25,26,28,31,01
1087,16096,06,13,14,21,22,24,16
1088,16095,01,05,09,12,18,32,12
1089,16094,06,07,10,12,18,31,10
1090,16093,06,09,15,17,25,27,09
1091,16092,02,13,15,23,24,29,06
1092,16091,04,08,14,22,23,28,07
1093,16090,02,13,17,20,21,26,07
1094,16089,01,03,14,30,31,32,08
1095,16088,03,14,16,18,25,33,15
1096,16087,02,03,10,11,14,21,12
1097,16086,09,10,11,12,15,32,05
1098,16085,01,12,19,20,21,25,16
1099,16084,02,04,12,18,24,26,05
1100,16083,09,16,17,24,30,31,04
1101,16082,06,12,14,15,17,20,09
1102,16081,02,06,15,25,30,32,07
1103,16080,01,16,17,24,25,32,14
1104,16079,01,03,10,12,24,28,02
1105,16078,02,04,08,23,26,29,02
1106,16077,01,09,17,19,20,29,10
1107,16076,07,08,13,22,30,32,01
1108,16075,01,03,06,16,29,32,07
1109,16074,06,10,11,12,20,25,12
1110,16073,09,11,12,15,16,20,13
1111,16072,05,16,19,22,24,25,02
1112,16071,19,21,26,28,29,32,01
1113,16070,03,06,11,18,23,29,01
1114,16069,08,10,11,20,21,27,11
1115,16068,08,19,23,28,31,32,01
1116,16067,09,13,18,20,27,31,04
1117,16066,03,07,13,18,19,20,05
1118,16065,13,16,22,25,26,27,14
1119,16064,03,12,14,17,19,26,03
1120,16063,16,17,18,23,28,32,07
1121,16062,12,13,15,18,19,21,09
1122,16061,05,06,08,18,20,32,08
1123,16060,04,05,22,26,29,32,08
1124,16059,04,11,12,20,25,28,15
1125,16058,03,05,18,20,24,32,11
1126,16057,07,12,19,22,23,26,11
1127,16056,03,04,08,11,16,18,14
1128,16055,05,06,10,16,22,26,11
1129,16054,06,11,16,19,28,32,04
1130,16053,02,08,10,12,29,31,01
1131,16052,01,06,13,19,24,28,16
1132,16051,01,02,04,09,15,33,12
1133,16050,09,12,24,28,29,30,02
1134,16049,06,08,13,14,22,27,10
1135,16048,03,08,13,14,15,30,04
1136,16047,02,05,08,15,17,22,16
1137,16046,07,20,25,26,27,30,14
1138,16045,04,09,12,17,30,32,03
1139,16044,01,03,10,12,18,30,01
1140,16043,05,14,20,26,30,33,12
1141,16042,07,14,17,23,26,31,09
1142,16041,12,17,18,21,22,24,04
1143,16040,03,13,19,20,23,26,03
1144,16039,01,03,07,18,19,27,16
1145,16038,03,12,13,22,28,29,03
1146,16037,06,15,26,31,32,33,16
1147,16036,03,04,07,09,20,22,03
1148,16035,04,13,19,20,26,29,11
1149,16034,03,15,21,22,23,28,15
1150,16033,06,17,18,20,27,29,15
1151,16032,08,12,14,15,21,27,15
1152,16031,03,08,10,19,26,33,03
1153,16030,10,14,19,22,25,29,12
1154,16029,12,15,18,20,21,27,15
1155,16028,06,08,12,21,25,29,01
1156,16027,11,13,15,17,19,31,05
1157,16026,04,09,12,28,30,33,01
1158,16025,04,11,12,17,24,30,12
1159,16024,02,05,07,14,18,31,13
1160,16023,03,06,10,19,25,29,07
1161,16022,04,09,19,22,23,30,07
1162,16021,09,11,13,22,24,26,05
1163,16020,01,02,10,12,22,24,10
1164,16019,06,13,16,17,23,30,10
1165,16018,12,13,14,17,21,25,04
1166,16017,05,06,08,20,22,30,05
1167,16016,01,20,22,24,25,26,16
1168,16015,01,02,14,22,25,26,07
1169,16014,02,08,10,18,20,27,07
1170,16013,07,12,21,22,26,31,01
1171,16012,07,12,14,16,27,32,15
1172,16011,03,08,10,15,22,29,12
1173,16010,02,04,12,14,19,25,06
1174,16009,10,14,24,25,27,32,04
1175,16008,02,15,24,29,32,33,02
1176,16007,05,12,14,20,27,29,06
1177,16006,13,16,18,20,28,31,12
1178,16005,11,14,18,20,31,33,14
1179,16004,08,10,17,22,25,33,12
1180,16003,01,10,14,23,26,28,01
1181,16002,09,14,17,20,24,30,16
1182,16001,06,13,16,18,20,22,13
1183,15154,07,09,11,15,18,25,07
1184,15153,08,11,15,22,27,29,03
1185,15152,11,18,19,21,29,32,12
1186,15151,05,06,08,23,31,32,11
1187,15150,01,03,08,11,29,31,13
1188,15149,09,10,20,21,22,33,09
1189,15148,09,13,14,22,26,27,07
1190,15147,08,09,16,23,24,30,05
1191,15146,16,17,21,28,30,32,15
1192,15145,07,08,15,19,20,24,13
1193,15144,01,04,07,15,28,32,16
1194,15143,13,15,19,20,21,32,04
1195,15142,13,17,19,20,22,25,11
1196,15141,03,08,19,25,27,28,02
1197,15140,06,20,28,29,30,31,12
1198,15139,01,10,13,18,25,27,09
1199,15138,01,02,08,16,19,24,11
1200,15137,14,22,23,27,28,31,12
1201,15136,02,05,12,23,28,29,01
1202,15135,01,12,14,18,26,32,07
1203,15134,02,05,14,19,27,31,04
1204,15133,02,03,13,20,22,24,15
1205,15132,03,05,11,28,30,33,01
1206,15131,10,12,13,19,22,26,03
1207,15130,06,14,15,16,17,22,10
1208,15129,05,08,11,16,18,27,04
1209,15128,01,03,08,11,22,28,06
1210,15127,07,10,19,22,27,33,06
1211,15126,10,11,15,20,23,29,12
1212,15125,05,13,22,27,30,33,10
1213,15124,02,03,05,12,18,27,01
1214,15123,05,08,09,12,22,28,07
1215,15122,05,07,11,16,22,25,07
1216,15121,01,03,20,21,28,29,12
1217,15120,16,21,24,26,27,29,16
1218,15119,02,08,10,18,23,31,08
1219,15118,01,04,11,21,23,31,12
1220,15117,04,11,12,18,26,32,12
1221,15116,04,06,15,23,26,28,11
1222,15115,01,07,08,14,24,32,03
1223,15114,04,07,09,13,21,26,01
1224,15113,01,05,07,08,19,27,12
1225,15112,01,03,10,19,20,27,11
1226,15111,08,14,16,18,20,30,12
1227,15110,05,07,16,17,22,23,04
1228,15109,01,08,09,16,32,33,13
1229,15108,02,12,19,22,24,27,15
1230,15107,07,14,16,18,21,25,08
1231,15106,01,03,04,23,31,32,13
1232,15105,09,10,16,19,20,26,12
1233,15104,09,18,21,23,25,26,01
1234,15103,06,08,13,26,30,32,14
1235,15102,07,09,12,14,21,23,06
1236,15101,08,16,22,24,28,29,05
1237,15100,02,03,11,17,19,21,08
1238,15099,06,07,10,11,14,22,09
1239,15098,06,09,13,26,27,33,01
1240,15097,09,12,14,20,26,27,04
1241,15096,06,16,17,23,24,31,07
1242,15095,04,15,21,28,30,31,04
1243,15094,01,04,06,13,16,17,10
1244,15093,01,03,13,21,25,31,08
1245,15092,09,15,19,21,26,27,01
1246,15091,05,07,17,19,22,31,11
1247,15090,10,12,14,22,25,33,15
1248,15089,12,14,19,27,28,29,01
1249,15088,02,12,20,24,29,31,09
1250,15087,09,15,16,19,20,28,11
1251,15086,05,06,08,16,18,22,12
1252,15085,02,08,25,27,28,29,05
1253,15084,15,18,20,22,28,29,15
1254,15083,06,07,16,18,29,32,05
1255,15082,02,08,09,14,28,30,07
1256,15081,13,20,22,26,28,31,13
1257,15080,14,17,25,27,28,30,02
1258,15079,09,14,15,20,26,32,11
1259,15078,03,07,20,22,26,29,02
1260,15077,01,06,08,10,13,27,16
1261,15076,01,09,10,19,23,27,09
1262,15075,06,11,13,19,21,32,04
1263,15074,04,07,21,25,26,29,08
1264,15073,01,02,17,22,26,27,04
1265,15072,01,03,05,20,21,31,05
1266,15071,08,18,20,28,29,31,08
1267,15070,01,07,13,19,21,29,15
1268,15069,01,13,17,18,23,30,15
1269,15068,06,15,18,21,26,27,10
1270,15067,02,05,08,24,25,31,14
1271,15066,05,08,11,17,24,28,16
1272,15065,08,10,14,19,26,29,12
1273,15064,11,12,14,17,23,27,01
1274,15063,01,07,09,16,22,32,12
1275,15062,09,14,15,18,21,26,16
1276,15061,06,18,22,26,32,33,04
1277,15060,01,03,18,27,31,32,13
1278,15059,02,06,09,16,25,32,14
1279,15058,02,09,10,18,19,20,15
1280,15057,09,20,24,25,26,32,04
1281,15056,01,07,08,16,18,20,14
1282,15055,01,10,15,18,19,28,02
1283,15054,01,02,07,10,22,26,07
1284,15053,03,07,17,22,32,33,10
1285,15052,02,04,11,16,25,26,12
1286,15051,04,10,24,26,28,32,09
1287,15050,03,09,12,16,17,31,04
1288,15049,07,12,14,17,20,23,05
1289,15048,13,16,17,22,25,27,10
1290,15047,02,03,20,24,26,27,09
1291,15046,05,07,10,14,23,31,01
1292,15045,01,05,13,22,30,31,07
1293,15044,02,03,04,13,14,16,02
1294,15043,11,12,15,24,26,27,15
1295,15042,09,10,19,21,23,32,08
1296,15041,04,09,11,17,21,25,06
1297,15040,13,16,18,27,30,32,16
1298,15039,01,13,15,26,29,30,12
1299,15038,05,06,11,12,14,33,14
1300,15037,05,07,12,18,28,31,03
1301,15036,04,06,16,17,26,33,03
1302,15035,01,08,09,22,24,33,03
1303,15034,12,13,17,18,20,27,13
1304,15033,03,06,21,29,31,32,05
1305,15032,11,14,16,18,29,32,16
1306,15031,01,05,07,22,26,32,11
1307,15030,08,11,14,15,16,26,07
1308,15029,07,14,15,19,21,28,07
1309,15028,04,07,10,26,27,28,14
1310,15027,05,07,09,16,26,29,07
1311,15026,02,13,17,21,22,33,13
1312,15025,10,11,12,15,27,32,14
1313,15024,09,11,16,18,23,24,10
1314,15023,08,09,10,13,29,30,01
1315,15022,04,07,10,16,23,25,10
1316,15021,14,15,16,17,27,28,08
1317,15020,01,04,07,19,22,23,04
1318,15019,02,06,11,19,25,26,04
1319,15018,06,09,12,14,28,29,09
1320,15017,13,18,20,25,27,33,12
1321,15016,02,06,10,15,17,31,13
1322,15015,01,07,20,24,25,33,04
1323,15014,02,12,16,19,27,30,11
1324,15013,08,09,24,25,26,29,01
1325,15012,03,05,22,23,29,31,06
1326,15011,04,14,15,17,18,20,15
1327,15010,01,02,03,08,21,31,09
1328,15009,04,07,14,17,21,25,14
1329,15008,04,07,10,16,20,22,03
1330,15007,01,07,09,17,20,33,08
1331,15006,01,10,11,29,31,33,13
1332,15005,07,10,16,17,18,32,15
1333,15004,02,14,15,16,23,24,10
1334,15003,10,15,20,23,24,31,15
1335,15002,07,15,16,25,28,32,05
1336,15001,01,07,09,16,20,23,06
1337,14152,08,13,15,20,21,25,12
1338,14151,04,05,08,11,21,27,08
1339,14150,03,08,14,22,24,32,09
1340,14149,07,09,10,15,19,33,01
1341,14148,01,02,05,12,15,16,13
1342,14147,06,07,22,26,31,32,10
1343,14146,01,06,13,20,29,32,01
1344,14145,10,12,13,23,26,29,11
1345,14144,03,05,06,09,10,27,14
1346,14143,03,12,18,20,25,26,16
1347,14142,06,21,22,23,25,28,13
1348,14141,08,09,11,16,21,24,10
1349,14140,06,10,11,14,17,33,06
1350,14139,01,14,15,20,25,29,11
1351,14138,04,06,13,29,31,33,13
1352,14137,03,06,09,11,25,29,09
1353,14136,03,16,19,27,31,32,10
1354,14135,02,04,11,13,25,33,01
1355,14134,05,16,22,23,26,28,02
1356,14133,13,14,16,23,30,31,13
1357,14132,05,06,14,15,18,33,08
1358,14131,05,17,21,22,28,32,14
1359,14130,01,02,10,24,30,33,10
1360,14129,05,08,09,20,28,32,02
1361,14128,05,07,08,17,18,24,14
1362,14127,02,10,12,21,23,27,12
1363,14126,06,11,16,17,22,27,01
1364,14125,10,11,15,26,31,32,06
1365,14124,02,17,20,24,31,33,04
1366,14123,01,06,11,17,28,33,05
1367,14122,06,09,11,16,20,29,11
1368,14121,01,02,13,22,28,30,09
1369,14120,01,07,12,16,23,28,04
1370,14119,06,13,17,20,26,29,09
1371,14118,05,07,15,18,26,30,03
1372,14117,05,10,17,25,28,29,04
1373,14116,09,10,14,15,19,29,16
1374,14115,01,09,10,11,13,32,03
1375,14114,02,07,23,30,32,33,10
1376,14113,12,14,28,31,32,33,07
1377,14112,01,15,16,21,24,30,03
1378,14111,02,08,17,20,22,28,02
1379,14110,01,08,11,13,19,30,06
1380,14109,02,05,11,15,19,28,02
1381,14108,03,08,09,20,23,28,02
1382,14107,11,14,17,22,25,27,16
1383,14106,09,14,17,18,21,25,15
1384,14105,14,16,17,19,27,32,04
1385,14104,02,06,12,19,27,28,13
1386,14103,03,08,09,10,18,33,04
1387,14102,14,16,21,24,28,31,13
1388,14101,16,18,20,23,24,32,07
1389,14100,01,06,09,10,14,16,11
1390,14099,01,05,10,11,13,32,14
1391,14098,02,13,17,20,29,31,07
1392,14097,07,13,24,25,27,32,15
1393,14096,12,14,17,19,22,24,08
1394,14095,05,06,08,14,22,31,08
1395,14094,01,10,18,20,23,29,01
1396,14093,02,08,09,10,20,29,05
1397,14092,03,13,18,19,22,26,07
1398,14091,01,05,12,19,27,29,14
1399,14090,05,09,11,19,24,32,13
1400,14089,04,06,14,17,27,30,09
1401,14088,03,06,11,14,16,29,15
1402,14087,06,18,22,23,32,33,06
1403,14086,02,04,10,12,14,30,08
1404,14085,01,02,11,19,23,29,08
1405,14084,01,06,09,10,13,25,08
1406,14083,05,06,19,21,23,33,12
1407,14082,02,04,20,25,26,29,11
1408,14081,08,14,22,24,27,29,10
1409,14080,05,14,16,17,25,30,07
1410,14079,02,07,16,22,27,28,02
1411,14078,02,03,05,06,09,17,07
1412,14077,08,09,12,15,19,22,10
1413,14076,06,10,12,17,18,33,11
1414,14075,03,09,11,22,27,29,06
1415,14074,01,03,06,13,30,31,12
1416,14073,01,12,16,20,30,33,02
1417,14072,01,03,07,13,19,32,16
1418,14071,02,04,12,17,22,25,14
1419,14070,01,07,09,19,28,29,07
1420,14069,05,12,17,19,25,30,11
1421,14068,04,12,13,22,27,29,16
1422,14067,01,06,07,17,18,23,06
1423,14066,02,05,15,17,18,21,16
1424,14065,03,04,05,08,10,22,06
1425,14064,02,09,15,16,29,32,14
1426,14063,03,08,17,21,22,31,16
1427,14062,06,09,15,24,25,26,09
1428,14061,02,14,17,27,28,31,08
1429,14060,03,05,14,18,25,33,06
1430,14059,05,08,12,13,23,25,13
1431,14058,02,03,12,13,14,25,11
1432,14057,02,04,12,18,23,31,08
1433,14056,01,11,18,20,28,29,01
1434,14055,02,09,14,19,21,30,04
1435,14054,01,04,05,11,29,30,14
1436,14053,14,17,19,22,26,31,02
1437,14052,09,13,15,28,30,33,08
1438,14051,10,16,19,21,23,24,13
