,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
185,22103,06,09,12,14,20,28,10
186,22102,09,10,12,18,29,32,14
187,22101,04,16,18,19,27,28,04
188,22100,02,06,07,15,20,21,15
189,22099,01,11,23,24,26,32,15
190,22098,02,03,04,06,21,33,05
191,22097,04,05,10,13,30,31,14
192,22096,03,16,17,19,25,33,07
193,22095,04,13,14,18,20,28,08
194,22094,06,11,13,16,19,31,02
195,22093,21,22,24,28,29,32,14
196,22092,07,10,16,20,21,27,11
197,22091,08,18,20,22,24,28,10
198,22090,01,04,25,27,29,30,07
199,22089,02,07,15,29,31,33,15
200,22088,03,09,15,17,20,22,06
201,22087,05,06,09,13,23,25,08
202,22086,01,04,08,21,23,24,11
203,22085,07,09,14,31,32,33,13
204,22084,03,18,23,24,25,32,09
205,22083,08,12,13,14,19,20,05
206,22082,04,10,11,23,30,32,14
207,22081,04,08,11,21,27,30,01
208,22080,05,12,15,17,18,27,04
209,22079,01,09,15,17,22,23,16
210,22078,01,04,05,15,17,31,09
211,22077,03,17,18,19,20,27,16
212,22076,08,09,10,13,24,29,02
213,22075,01,02,04,25,26,30,10
214,22074,05,07,15,19,29,33,15
215,22073,06,10,14,15,26,29,12
216,22072,05,14,15,16,18,32,12
217,22071,04,07,15,18,29,33,01
218,22070,04,06,09,27,28,33,02
219,22069,06,07,13,19,26,29,08
220,22068,07,12,15,24,26,29,06
221,22067,01,05,13,21,26,29,15
222,22066,06,11,14,20,27,30,09
223,22065,09,14,18,23,28,31,02
224,22064,04,06,12,13,17,31,16
225,22063,06,08,09,17,22,31,11
226,22062,16,18,20,21,23,33,05
227,22061,01,03,16,18,29,33,06
228,22060,16,18,19,24,28,32,01
229,22059,06,09,18,19,29,33,06
230,22058,06,13,14,23,31,33,01
231,22057,12,15,20,26,30,33,16
232,22056,01,06,11,14,17,26,15
233,22055,02,04,09,26,28,33,03
234,22054,08,12,21,27,28,33,11
235,22053,10,14,18,23,27,33,15
236,22052,07,24,27,29,31,32,15
237,22051,02,05,11,17,21,33,01
238,22050,03,05,08,14,27,33,08
239,22049,02,04,07,18,25,26,10
240,22048,05,07,17,20,26,31,14
241,22047,03,07,08,14,27,30,09
242,22046,02,11,24,25,27,30,14
243,22045,03,12,17,18,19,28,04
244,22044,01,07,08,21,23,29,06
245,22043,02,17,20,23,25,27,08
246,22042,05,10,11,21,22,30,13
247,22041,05,07,21,22,24,29,14
248,22040,03,12,14,16,31,33,12
249,22039,02,06,07,10,15,20,05
250,22038,09,12,13,16,24,32,04
251,22037,01,10,13,20,22,32,14
252,22036,02,03,14,16,26,31,02
253,22035,08,12,13,19,23,25,15
254,22034,14,17,26,31,32,33,10
255,22033,05,12,19,22,25,26,05
256,22032,04,10,11,14,23,32,07
257,22031,01,10,11,22,26,32,07
258,22030,12,23,24,26,27,30,05
259,22029,03,08,10,13,26,32,08
260,22028,05,11,20,22,23,29,09
261,22027,14,15,18,19,26,32,09
262,22026,03,04,10,15,22,24,02
263,22025,06,19,24,25,28,32,04
264,22024,07,09,10,14,19,24,15
265,22023,07,12,17,19,24,25,02
266,22022,01,07,11,15,17,19,06
267,22021,03,07,22,24,26,31,14
268,22020,09,11,14,22,30,32,01
269,22019,05,06,14,20,21,25,08
270,22018,07,11,16,17,30,32,16
271,22017,06,09,24,29,30,32,07
272,22016,05,10,19,20,29,31,14
273,22015,06,14,16,27,28,31,07
274,22014,06,07,13,14,15,27,04
275,22013,02,03,04,07,10,18,15
276,22012,04,07,08,29,30,31,01
277,22011,06,15,23,24,25,33,15
278,22010,12,18,19,20,21,32,15
279,22009,04,15,17,19,25,28,16
280,22008,02,03,07,09,20,21,13
281,22007,01,20,22,23,25,28,16
282,22006,03,06,09,15,22,31,02
283,22005,07,10,12,16,19,31,16
284,22004,05,19,24,28,30,32,14
285,22003,02,05,16,17,18,30,06
286,22002,02,12,21,23,25,31,08
287,22001,06,13,15,17,20,21,03
288,21150,09,14,20,21,24,26,04
289,21149,05,10,15,18,19,32,05
290,21148,10,12,15,17,19,20,08
291,21147,05,10,11,13,27,28,09
292,21146,07,09,21,22,26,32,03
293,21145,04,07,10,14,16,26,09
294,21144,02,05,13,15,23,26,07
295,21143,01,09,11,13,20,29,09
296,21142,04,07,17,19,20,24,16
297,21141,01,14,19,23,26,30,10
298,21140,05,10,16,26,27,33,01
299,21139,12,14,19,23,24,27,01
300,21138,11,14,15,16,27,32,09
301,21137,03,07,10,14,21,24,01
302,21136,02,06,09,15,19,28,16
303,21135,03,10,17,19,21,31,04
304,21134,01,02,16,19,25,31,08
305,21133,01,03,12,19,27,31,10
306,21132,01,04,06,14,20,28,08
307,21131,08,11,18,19,20,24,01
308,21130,08,09,15,24,26,30,06
309,21129,04,15,21,27,28,29,10
310,21128,05,17,20,21,23,33,04
311,21127,07,15,16,20,27,29,07
312,21126,19,20,23,27,28,31,01
313,21125,14,19,20,23,24,31,09
314,21124,01,03,18,22,29,32,02
315,21123,06,14,15,19,29,31,05
316,21122,04,05,12,15,18,28,07
317,21121,04,05,12,16,22,30,15
318,21120,01,07,08,12,13,18,05
319,21119,03,09,10,11,28,29,13
320,21118,02,06,14,18,20,31,13
321,21117,03,05,17,21,27,33,04
322,21116,06,14,17,18,31,33,06
323,21115,02,10,12,15,24,27,08
324,21114,04,06,08,14,24,27,02
325,21113,04,07,10,22,27,30,02
326,21112,05,06,21,25,28,33,07
327,21111,17,20,22,23,26,28,06
328,21110,10,13,15,24,31,32,02
329,21109,02,03,10,17,20,26,16
330,21108,11,15,18,24,26,32,09
331,21107,02,03,17,19,25,30,01
332,21106,01,04,07,14,30,31,03
333,21105,10,14,15,22,27,32,09
334,21104,01,07,17,20,22,28,15
335,21103,10,13,15,25,29,30,15
336,21102,05,09,15,24,27,30,09
337,21101,02,04,12,22,29,31,01
338,21100,07,09,12,13,14,29,16
339,21099,09,11,17,18,20,27,15
340,21098,01,10,13,18,26,32,05
341,21097,03,11,12,13,25,28,12
342,21096,01,07,11,14,15,26,11
343,21095,08,12,17,24,27,28,13
344,21094,09,11,24,25,28,33,15
345,21093,05,11,15,23,28,33,03
346,21092,02,07,08,10,12,31,03
347,21091,04,06,16,24,26,33,16
348,21090,05,06,12,14,27,28,08
349,21089,01,02,07,13,23,24,12
350,21088,04,12,15,16,19,26,06
351,21087,02,13,16,19,23,24,04
352,21086,06,08,10,14,28,29,01
353,21085,05,06,07,11,14,20,02
354,21084,05,07,09,11,21,28,01
355,21083,04,09,11,25,28,33,04
356,21082,03,06,11,13,26,32,05
357,21081,01,03,05,18,22,23,01
358,21080,05,08,22,23,24,29,09
359,21079,01,03,10,24,28,29,13
360,21078,04,06,15,26,27,31,12
361,21077,08,15,17,25,27,30,10
